"name","type","typecode","address","location","location_geo","pname","cityname","tel","photos"
"苍山景区","风景名胜;风景名胜;国家级景点","110202","苍山上","100.132336,25.659082","{""coordinates"":[100.132336,25.659082],""type"":""Point""}","云南省","大理白族自治州","0872-2670349","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4e7dc163381dd4bdfb06b3fa9f5d61c2""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b6129ecb3cf07bf4b5774851dcd81fe3""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/ad17c2b4216e01638c02465647b2e103""}]"
"蝴蝶泉","风景名胜;风景名胜;省级景点","110203","喜洲镇周城村","100.098464,25.906721","{""coordinates"":[100.098464,25.906721],""type"":""Point""}","云南省","大理白族自治州","0872-2431433;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/77a0786a2ed04ddfcf52c58e18bf5f5d""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0984e19218c0787d2e65f57cac2ea8aa""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0cd91fc220a0634667b9ceeaf3c96eef""}]"
"崇圣寺三塔","风景名胜;风景名胜;寺庙道观","110205","苍山应乐峰下","100.143495,25.704321","{""coordinates"":[100.143495,25.704321],""type"":""Point""}","云南省","大理白族自治州","0872-2666346;0872-2666246;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/74b2105db7e76c54e934eee6ced05bb7""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/32b501a8409db2c26174e376623b0755""},{""title"":""崇圣寺三塔,url"":""http://store.is.autonavi.com/showpic/8c982de74c55aba20e79c43f40f65a77""}]"
"洱海公园","风景名胜;风景名胜;国家级景点","110202","洱河南路1号","100.247224,25.60308","{""coordinates"":[100.247224,25.60308],""type"":""Point""}","云南省","大理白族自治州","0872-2325080","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/cab66c92ad9af3fab702f99d5292ae3e""},{""title"":""洱海公园,url"":""http://store.is.autonavi.com/showpic/c86751b3889807be2af53e5d976548de""},{""title"":""洱海公园,url"":""http://store.is.autonavi.com/showpic/6f944dc9ef8733b518b5cbf4c7705f18""}]"
"南诏风情岛","风景名胜;风景名胜;国家级景点","110202","双廊镇","100.19116,25.90192","{""coordinates"":[100.19116,25.90192],""type"":""Point""}","云南省","大理白族自治州","0872-2461040;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/63f6223963cc0c83099ccc5895af104b""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/55f4037a529dc9a828df24dc39e4212c""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4bc48a81e023ab28d186cd305c32eba4""}]"
"双廊古镇","风景名胜;风景名胜;国家级景点","110202","大西线洱海东岸","100.194397,25.909382","{""coordinates"":[100.194397,25.909382],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/a9b5192bcd0c01b1df8eb47bfd48b6dd""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/cec19f5bd23ae8be3d093119a0969d96""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b246d7b5f1fb585184959a8f0ad033da""}]"
"人民公园","风景名胜;公园广场;公园","110101","人民街","100.217468,25.585622","{""coordinates"":[100.217468,25.585622],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0fcfadc3644ad936ccbaeebe3edeb858""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/cdb01cb1f7ba0fd0b21cf5187b9299e8""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/33c89cd4ae71be5b7f859b02151a5b73""}]"
"天镜阁景区","风景名胜;风景名胜;风景名胜","110200","海东镇环海路罗荃半岛旅游区内","100.237521,25.705409","{""coordinates"":[100.237521,25.705409],""type"":""Point""}","云南省","大理白族自治州","0872-2479517;12301","[{""title"":""天镜阁景区,url"":""http://store.is.autonavi.com/showpic/db55283066a6dd00e1a4f6fd363b8101""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0af1a55f6d005ab8f58e0cef765fbc08""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/f9026a5153f4f46581caa93617efdf94""}]"
"大理张家花园","住宿服务;住宿服务相关;住宿服务相关|风景名胜;风景名胜;风景名胜","100000|110200","观音塘北旁","100.18256,25.653166","{""coordinates"":[100.18256,25.653166],""type"":""Point""}","云南省","大理白族自治州","0872-2684000;18987217822;0872-2684636","[{""title"":""外观,url"":""http://store.is.autonavi.com/showpic/04de24fec4bab45ee770965cf7a95458""},{""title"":""酒店外观,url"":""http://store.is.autonavi.com/showpic/9e2fffcfdd110ed4ce4c08482a6a513f""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/f29173865115f358b254d19a6e62ee43""}]"
"民族广场","风景名胜;公园广场;城市广场","110105","下关开发区","100.247167,25.599064","{""coordinates"":[100.247167,25.599064],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/dd926fc1865e100a1d2fdf019a3b4a5c""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/fd210d905edf1be5bcdd1fb232a4a5d9""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b8328a839de36db2e3b281c91daa4af2""}]"
"鸡足山","风景名胜;风景名胜;国家级景点","110202","鸡足山镇寺前村","100.395834,25.944285","{""coordinates"":[100.395834,25.944285],""type"":""Point""}","云南省","大理白族自治州","0872-7350020;0872-7350030;12301","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4f67f63e71e4208e64b24dd56407e61a""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b16c6408c8666722d91cd61fe22793fe""},{""title"":""宾川鸡足山,url"":""http://store.is.autonavi.com/showpic/93e090e486f56f2990125eac291affc4""}]"
"三塔倒影公园","风景名胜;公园广场;公园","110101","大理镇三塔公园南侧","100.150521,25.702047","{""coordinates"":[100.150521,25.702047],""type"":""Point""}","云南省","大理白族自治州","0872-2670974","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/2609d77f52af15d076342a5a48e3587b""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/c7914a5e7273cd6be690bb8a3fdc83c7""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/3bd4d20eb39a71c2f85817a0920f8b05""}]"
"小普陀","风景名胜;风景名胜;风景名胜","110200","环海东路西150米","100.223049,25.807428","{""coordinates"":[100.223049,25.807428],""type"":""Point""}","云南省","大理白族自治州","0872-2468530","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/cafbccb9242769816995ea857ff5c7d2""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/2a14c06751ed345f7dd663868f4be052""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/426992ad6b8f99f53d6282108e81e9b8""}]"
"飞来寺","风景名胜;风景名胜;寺庙道观","110205","巍山路南50米","100.292422,25.608072","{""coordinates"":[100.292422,25.608072],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/bd3c9d58c2c88b4d166b70ca00d7dccd""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/38745a79ed5794a4fd1604d639c31895""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/11245f00a24a8e461153f4ad6ed2d132""}]"
"下关清真寺","风景名胜;风景名胜;回教寺","110207","西文巷16号","100.212716,25.585866","{""coordinates"":[100.212716,25.585866],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4d487bb51e0b7b05cb3a413b2ddc59ad""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/b42c52e3e2677dcff9139bed63048724""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/40b0d459a9eb98e04b9bab28a3155de1""}]"
"西湖国家湿地公园","风景名胜;公园广场;公园|风景名胜;风景名胜;省级景点","110101|110203","西湖线西湖景区内","100.054170,26.011941","{""coordinates"":[100.054170,26.011941],""type"":""Point""}","云南省","大理白族自治州","0872-5398888","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/db92fd4241b38302d1d0410518abc162""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1bf3decdd0cb4ef56994fbddace85a34""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1d000ff91492de69681b82c58cf887d0""}]"
"将军洞","风景名胜;风景名胜;风景名胜","110200","下关镇嘉士伯大道2号","100.200103,25.591598","{""coordinates"":[100.200103,25.591598],""type"":""Point""}","云南省","大理白族自治州","0872-2222801","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1af16f20d7d456230c4e494bc5e361e2""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/82cef22968d6301bc038ab31f038d2eb""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/0423c07576dbec77e1801b5aa58079d7""}]"
"慈云寺","风景名胜;风景名胜;寺庙道观","110205","东街与北街交叉口西北100米","100.312390,25.586811","{""coordinates"":[100.312390,25.586811],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/9070dba643f29081ad917bec3cd2d068""}]"
"一塔公园","风景名胜;公园广场;公园","110101","二一四国道一塔巷","100.157454,25.685408","{""coordinates"":[100.157454,25.685408],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"清真寺","风景名胜;风景名胜;回教寺","110207","010乡道西50米","100.317464,25.566019","{""coordinates"":[100.317464,25.566019],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://aos-cdn-image.amap.com/sns/ugccomment/42a3f85d-4496-4120-9af4-98a4ca90e186.jpg""}]"
"本主庙","风景名胜;风景名胜;寺庙道观","110205","玉洁路1号","100.163723,25.681034","{""coordinates"":[100.163723,25.681034],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":""本主庙,url"":""http://store.is.autonavi.com/showpic/c23a2f29362600fdb0cfe67f35a1d9a6""},{""title"":""本主庙,url"":""http://store.is.autonavi.com/showpic/e9d861b857bde683fe0e08b2b9aaa88c""},{""title"":""本主庙,url"":""http://store.is.autonavi.com/showpic/321a1448035a35d7aa3ff8d5e251f419""}]"
"龙泉圣境","风景名胜;风景名胜;风景名胜","110200","嘉仕伯大道3号","100.202036,25.594396","{""coordinates"":[100.202036,25.594396],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/fba0be76a59c0c66f34eef16af97f12e""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4ad82fc2896097b046b5f3596a58e861""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/88cdb6f78665977dae0fec05deb49209""}]"
"大理古城-博爱门","风景名胜;风景名胜;风景名胜","110200","大理古城","100.161929,25.687064","{""coordinates"":[100.161929,25.687064],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/557a833fa3109f1e8a18f2eb""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/7a05a39618a1ca75e9fe36e88baafe20""}]"
"白马庙","风景名胜;风景名胜;寺庙道观","110205","永平路","100.204580,25.586390","{""coordinates"":[100.204580,25.586390],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/70955e99fa58576c3524a05980ffe0d9""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/21c81046e0bf9b641d8636da971cae81""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/8da660aa857d776232ca80734a2b7af0""}]"
"民族广场-高原明珠","风景名胜;公园广场;公园","110101","云岭大道与宾川路交叉口","100.246508,25.599388","{""coordinates"":[100.246508,25.599388],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/f9a978ef4e04c4843d703d877e669c01""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/e79a0a4435a7570ef7c2ea412af8ecf4""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1e1ec1868b3ae3af6fecb29ef5591a99""}]"
"苍洱大观","风景名胜;风景名胜;风景名胜","110200","万花路","100.235767,25.601534","{""coordinates"":[100.235767,25.601534],""type"":""Point""}","云南省","大理白族自治州","[]","[]"
"大理古城-城隍庙","风景名胜;风景名胜;风景名胜","110200","大理古城南门卖花村","100.166270,25.687762","{""coordinates"":[100.166270,25.687762],""type"":""Point""}","云南省","大理白族自治州","[]","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/1eaff3e106802eff17eb81cf3d177e6c""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/c5eb00c3eca558572a88aa89a3235145""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/4350804bbebe526ebaf99621837b1179""}]"
"太和城遗址","风景名胜;风景名胜;风景名胜","110200","七里桥乡太和村西","100.194025,25.630562","{""coordinates"":[100.194025,25.630562],""type"":""Point""}","云南省","大理白族自治州","0872-2674147","[{""title"":[],""url"":""http://store.is.autonavi.com/showpic/6ecade0741d6c6db3c5cb6865176b132""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/91b0ec91244053f681abe1afc874f2a1""},{""title"":[],""url"":""http://store.is.autonavi.com/showpic/3d7b7c30f27cb931fa3487b22617778a""}]"
